,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Knives Out,2019,130,7.9,82.0,367602,165.36
1,Dil Bechara,2020,101,8.9,,96886,
2,Jojo Rabbit,2019,108,7.9,58.0,247588,0.35
3,Hamilton,2020,160,8.8,90.0,34227,
4,The Gentlemen,2019,113,7.9,51.0,173690,
5,Once Upon a Time... In Hollywood,2019,161,7.7,83.0,501537,142.5
6,Joker,2019,122,8.5,59.0,843255,335.45
7,Jurassic Park,1993,127,8.1,68.0,842950,402.45
8,Avengers: Endgame,2019,181,8.4,78.0,748929,858.37
9,Parasite,2019,132,8.6,96.0,462465,53.37
10,Inception,2010,148,8.8,74.0,1994730,292.58
11,Apocalypse Now,1979,147,8.4,94.0,589704,83.47
12,Little Women,2019,135,7.8,91.0,119972,108.1
13,The Shawshank Redemption,1994,142,9.3,80.0,2273386,28.34
14,Interstellar,2014,169,8.6,74.0,1442794,188.02
15,The Godfather,1972,175,9.2,100.0,1568398,134.97
16,1917,2019,119,8.3,78.0,356493,159.23
17,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,623299,317.58
18,Ford v Ferrari,2019,152,8.1,81.0,246996,117.62
19,The Peanut Butter Falcon,2019,97,7.6,70.0,47233,13.12
20,Mad Max: Fury Road,2015,120,8.1,90.0,854085,154.06
21,One Flew Over the Cuckoo's Nest,1975,133,8.7,83.0,889214,112.0
22,The Dark Knight,2008,152,9.0,84.0,2235725,534.86
23,Pride & Prejudice,2005,129,7.8,82.0,246806,38.41
24,Gone Girl,2014,149,8.1,79.0,830847,167.77
25,The Matrix,1999,136,8.7,73.0,1628290,171.48
26,The Goonies,1985,114,7.8,62.0,236269,61.5
27,The Wolf of Wall Street,2013,180,8.2,75.0,1137781,116.9
28,Inglourious Basterds,2009,153,8.3,69.0,1226712,120.54
29,Goodfellas,1990,146,8.7,90.0,988796,46.84
30,Avengers: Infinity War,2018,149,8.4,68.0,792971,678.82
31,Thor: Ragnarok,2017,130,7.9,74.0,562406,315.06
32,Back to the Future,1985,116,8.5,87.0,1024502,210.61
33,Pulp Fiction,1994,154,8.9,94.0,1776209,107.93
34,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1616585,315.54
35,The Shining,1980,146,8.4,66.0,866816,44.02
36,No Country for Old Men,2007,122,8.1,91.0,829152,74.28
37,Gladiator,2000,155,8.5,67.0,1305049,187.71
38,Titanic,1997,194,7.8,75.0,1021470,659.33
39,American History X,1998,119,8.5,62.0,1012189,6.72
40,Moana,2016,107,7.6,81.0,259774,248.76
41,The Irishman,2019,209,7.9,94.0,302317,7.0
42,The Silence of the Lambs,1991,118,8.6,85.0,1230863,130.74
43,Blade Runner 2049,2017,164,8.0,81.0,439095,92.05
44,The Godfather: Part II,1974,202,9.0,90.0,1095844,57.3
45,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,887670,34.4
46,Dunkirk,2017,106,7.9,94.0,527738,188.37
47,The Prestige,2006,130,8.5,66.0,1151656,53.09
48,Fight Club,1999,139,8.8,66.0,1803350,37.03
49,The Big Lebowski,1998,117,8.1,71.0,711684,17.5
